identifier,uri,name,type,project,date,event,source,people
oscys.case.0432.001,http://earlywashingtondc.org/doc/oscys.case.0432.001,Julia Roberts v. Austin L. Adams & Ann C. Harding. Petition for Freedom,Civil (document),O Say Can You See,,oscys.caseid.0464,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003571;per.003572;per.003573;per.000737;per.000738
oscys.case.0225.001,http://earlywashingtondc.org/doc/oscys.case.0225.001,William Lewis v. Robert H. Perkins. Summons of Robert H. Perkins,Civil (document),O Say Can You See,1845-12-20,oscys.caseid.0230,"National Archives and Records Administration, Record Group 21, Entry 6, Box 696, Folder 36",per.001779;per.001780;per.000753;per.000003;per.000004;per.000739
oscys.case.0350.005,http://earlywashingtondc.org/doc/oscys.case.0350.005,Betsy Burke v. William Allen & Ann Allen. Summons of William Allen & Ann Allen,Civil (document),O Say Can You See,1861-02-20,oscys.caseid.0375,"National Archives and Records Administration, Record Group 21, Entry 6, Box 950, Folder 202",per.000852;per.000853;per.002593;per.000751;per.000476;per.001217;per.000740
oscys.case.0210.004,http://earlywashingtondc.org/doc/oscys.case.0210.004,Sylvia Lee v. Elizabeth Smallwood. Summons of Elizabeth Smallwood,Civil (document),O Say Can You See,1832-08-07,oscys.caseid.0215,"National Archives and Records Administration, Record Group 21, Entry 6, Box 483, Folder 119",per.001730;per.001731;per.000476;per.000001;per.000502;per.000003;per.000004;per.001729
oscys.case.0133.005,http://earlywashingtondc.org/doc/oscys.case.0133.005,George Kean v. Oliver Kean & Silas Burke. Summons of Olivia Kean & Silas Burke,Civil (document),O Say Can You See,1838-02-02,oscys.caseid.0133,"National Archives and Records Administration, Record Group 21, Entry 6, Box 585, Folder 90",per.001021;per.001022;per.001023;per.000873;per.000003;per.000004;per.000739;per.001020
oscys.case.0061.004,http://earlywashingtondc.org/doc/oscys.case.0061.004,George Hunter v. William M. Offutt & Zadock Offutt. Summons of William M. & Zadock Offutt,Civil (document),O Say Can You See,1825-07-15,oscys.caseid.0061,"National Archives and Records Administration, Record Group 21, Entry 6, Box 355, Folder 80",per.000546;per.000547;per.000548;per.000549;per.000003;per.000004;per.000550;per.000461
oscys.case.0236.010,http://earlywashingtondc.org/doc/oscys.case.0236.010,Mary Ann Williams v. Mary Massey. Summons of Mary Massey,Civil (document),O Say Can You See,1854-12-28,oscys.caseid.0241,"National Archives and Records Administration, Record Group 21, Entry 6, Box 789, Folder 104",per.001830;per.001831;per.000847;per.000004;per.001216;per.000740
oscys.case.0046.003,http://earlywashingtondc.org/doc/oscys.case.0046.003,Robert Henley v. Samuel Miller. Affidavit of William Ramsay & Robert Fulton,Civil (document),O Say Can You See,1821-10-08,oscys.caseid.0046,"National Archives and Records Administration, Record Group 21, Entry 6, Box 275, Folder 959",per.000462;per.000463;per.000465;per.000466;per.000122;per.000467;per.000468;per.000469;per.000470;per.000471
oscys.case.0227.008,http://earlywashingtondc.org/doc/oscys.case.0227.008,William Thornton v. George Graham. Jury Instructions,Civil (document),O Say Can You See,,oscys.caseid.0232,"National Archives and Records Administration, Record Group 21, Entry 6, Box 454, Folder 82",per.001782;per.001783
oscys.case.0036.010,http://earlywashingtondc.org/doc/oscys.case.0036.010,Joe Thompson v. Walter Clarke. Accounts of John Thompson and Elizabeth Thompson,Civil (document),O Say Can You See,1806-06-09,oscys.caseid.0036,"National Archives and Records Administration, Record Group 21, Entry 6, Box 123, Folder 446",per.000284;per.000285;per.000286;per.000287;per.000340;per.000295;per.000341;per.000342;per.000312;per.000343;per.000344;per.000345;per.000346;per.000347;per.000348;per.000349;per.000296;per.000350;per.000351;per.000352;per.004425;per.000353;per.000354;per.000355;per.000356;per.000357;per.000358;per.000359;per.000360;per.000288;per.000361;per.000362;per.000363;per.000364;per.000365;per.000366;per.000367;per.000368;per.000369;per.000370;per.000371;per.000372;per.000373;per.000374;per.000375;per.000376;per.000377;per.000378;per.000379;per.004426;per.000380;per.000381;per.000293;per.000382;per.000383;per.000314;per.000315;per.000384;per.000385;per.000386;per.000387;per.000388;per.000389;per.000390;per.004427;per.000391;per.000392;per.000393;per.000394;per.000294;per.000395;per.000396;per.000397;per.000398;per.000399;per.000400;per.000401;per.000402;per.000403;per.000404;per.000405;per.000406;per.000407;per.000408;per.000409;per.000410;per.000411;per.000412;per.000413;per.000414;per.000415;per.000300;per.000416;per.000417;per.004428;per.000302;per.000303;per.000304;per.000306;per.000307;per.000290;per.000308;per.000309;per.000311;per.000418;per.000419;per.000420;per.000421;per.000422;per.000423;per.000424;per.000425;per.000426;per.000427
oscys.case.0431.002,http://earlywashingtondc.org/doc/oscys.case.0431.002,Fanny Jackson v. Ariss Buckner & Bernard H. Buckner. Petition for Freedom,Civil (document),O Say Can You See,1833-07-17,oscys.caseid.0461,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003504;per.003505;per.003506;per.003507;per.000904;per.003499;per.000873;per.000003;per.000699;per.000064
oscys.case.0370.021,http://earlywashingtondc.org/doc/oscys.case.0370.021,Loudon v. Charles Scott. Summons of Thomas Butler,Civil (document),O Say Can You See,1805-12-10,oscys.caseid.0396,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002915;per.002916;per.001555;per.002924;per.002816;per.000183
oscys.case.0027.002,http://earlywashingtondc.org/doc/oscys.case.0027.002,Matilda Gray v. Mary Ann Pic. Summons of Mary Ann Pic,Civil (document),O Say Can You See,1812-11-24,oscys.caseid.0027,"National Archives and Records Administration, Record Group 21, Entry 6, Box 55, Folder 255",per.000226;per.000227;per.000228;per.000001;per.000006;per.000003;per.000004
oscys.case.0378.014,http://earlywashingtondc.org/doc/oscys.case.0378.014,China v. Benjamin D. Patterson. Commission to Take Deposition of William Patterson,Civil (document),O Say Can You See,1810-11-30,oscys.caseid.0403,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002971;per.002792;per.000004;per.002816;per.002970
oscys.case.0296.012,http://earlywashingtondc.org/doc/oscys.case.0296.012,Ellen Johnson v. Morris Adler. Agreement to Discharge Jury,Civil (document),O Say Can You See,1852-12-06,oscys.caseid.0298,"National Archives and Records Administration, Record Group 21, Entry 6, Box 772, Folder 48",per.002260;per.002261;per.002262;per.002263;per.002150;per.000829;per.000847;per.000830;per.000679
oscys.case.0252.005,http://earlywashingtondc.org/doc/oscys.case.0252.005,Primos Garner v. William Mills. Summons of William Mills,Civil (document),O Say Can You See,1853-08-02,oscys.caseid.0253,"National Archives and Records Administration, Record Group 21, Entry 6, Box 771, Folder 157",per.001897;per.001898;per.001180;per.000004;per.001216;per.000740
oscys.case.0159.002,http://earlywashingtondc.org/doc/oscys.case.0159.002,Keziah Crawford v. Thomas G. Slye. Summons of Thomas G. Slye,Civil (document),O Say Can You See,1833-09-04,oscys.caseid.0161,"National Archives and Records Administration, Record Group 21, Entry 6, Box 514, Folder 270",per.001195;per.001196;per.000464;per.000502;per.000003;per.000004
oscys.case.0374.003,http://earlywashingtondc.org/doc/oscys.case.0374.003,James v. James Campbell. Complaint,Civil (document),O Say Can You See,,oscys.caseid.0399,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002951;per.002867;per.002952;per.001523;per.002953;per.001531
oscys.case.0014.003,http://earlywashingtondc.org/doc/oscys.case.0014.003,Isaac Davis & Edgar Davis v. John Travers. John Travers to Francis S. Key,Civil (document),O Say Can You See,1810-07-04,oscys.caseid.0014,"National Archives and Records Administration, Record Group 21, Entry 6, Box 20, Folder 221",per.000123;per.000124;per.000125;per.000001;per.000044
oscys.case.0252.010,http://earlywashingtondc.org/doc/oscys.case.0252.010,Primos Garner v. Horatio R. Marryman. Verdict,Civil (document),O Say Can You See,1857-04-02,oscys.caseid.0254,"National Archives and Records Administration, Record Group 21, Entry 6, Box 828, Folder 329",per.001897;per.001900;per.001901;per.001902;per.001903;per.001904;per.001905;per.001906;per.001907;per.001908;per.001909;per.001910;per.001911;per.001912
oscys.case.0395.004,http://earlywashingtondc.org/doc/oscys.case.0395.004,Dennis Brown v. Christopher Neale. Summons of Elsworth Bayne et al.,Civil (document),O Say Can You See,1822-11-13,oscys.caseid.0420,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003142;per.002274;per.003143;per.003144;per.000004;per.000122;per.003145;per.003146
oscys.case.0269.005,http://earlywashingtondc.org/doc/oscys.case.0269.005,Ralph Taylor v. James C. McGuire. Petitioners' First Bill of Exceptions,Civil (document),O Say Can You See,1852-12-01,oscys.caseid.0290,"National Archives and Records Administration, Record Group 21, Entry 6, Box 764, Folder 380, 381",per.002152;per.002153;per.002154;per.002155;per.002156;per.002157;per.002158;per.000476;per.002159;per.000044;per.002151
oscys.case.0086.003,http://earlywashingtondc.org/doc/oscys.case.0086.003,Henry Ober et al. v. Henry Talbert. Motion for Subpoena,Civil (document),O Say Can You See,1828-06-11,oscys.caseid.0086,"National Archives and Records Administration, Record Group 21, Entry 6, Box 409, Folder 21",per.000668;per.000669;per.000670;per.000671;per.000672;per.000673;per.000675;per.000674;per.000572;per.000003
oscys.case.0416.016,http://earlywashingtondc.org/doc/oscys.case.0416.016,Rachel Shorter et al. v. Ann Casanave. Depositions of Mary Diggs & Nathan Soper,Civil (document),O Say Can You See,1824-01-09,oscys.caseid.0444,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003345;per.003346;per.003330;per.003347;per.003348;per.003349;per.003350;per.003351;per.003328;per.000473;per.000001;per.000003;per.003352;per.003331;per.003332;per.001393;per.000122;per.003333;per.002176;per.000499;per.003334;per.003335;per.003324;per.003360
oscys.case.0241.005,http://earlywashingtondc.org/doc/oscys.case.0241.005,Samuel Stacey v. James Knox. Summons of James Knox,Civil (document),O Say Can You See,1852-07-17,oscys.caseid.0246,"National Archives and Records Administration, Record Group 21, Entry 6, Box 761, Folder 169",per.001844;per.001845;per.001846;per.000004;per.000740;per.000753
oscys.case.0416.008,http://earlywashingtondc.org/doc/oscys.case.0416.008,"Daniel Wells v. Benjamin F. Lewis. Summons of Ann Spalding, Enoch Campbell, & William P. Chappel",Civil (document),O Say Can You See,1824-11-27,oscys.caseid.0443,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003326;per.003327;per.003336;per.003337;per.000004;per.000122;per.000461;per.003340
oscys.case.0045.006,http://earlywashingtondc.org/doc/oscys.case.0045.006,Richard Luckett v. Janet Lingan. Summons of Janet Lingan,Civil (document),O Say Can You See,1824-08-10,oscys.caseid.0045,"National Archives and Records Administration, Record Group 21, Entry 6, Box 329, Folder 131",per.000452;per.000453;per.000460;per.000003;per.000004;per.000461
oscys.case.0334.001,http://earlywashingtondc.org/doc/oscys.case.0334.001,Lucy v. Stephen Cooke. Petition for Freedom,Civil (document),O Say Can You See,1809-04-25,oscys.caseid.0359,"National Archives and Records Administration, Record Group 21, Entry 6, Box 82, Folder 274",per.002452;per.002453;per.002454;per.002455;per.002456;per.002457;per.002458;per.000001;per.000003;per.000714;per.000004;per.002450;per.002451
oscys.case.0213.003,http://earlywashingtondc.org/doc/oscys.case.0213.003,Trueman Giberson v. John Dulin. Summons of John Dulin,Civil (document),O Say Can You See,1844-05-07,oscys.caseid.0218,"National Archives and Records Administration, Record Group 21, Entry 6, Box 696, Folder 178",per.001735;per.001736;per.001737;per.001738;per.000829;per.000003;per.000004;per.000739
oscys.report.0079.001,http://earlywashingtondc.org/doc/oscys.report.0079.001,Austin L. Adams & Ann C. Harding v. Julia Roberts. Civil Court Report,Civil (document),O Say Can You See,1844-01,oscys.caseid.0464,"Benjamin Robbins Curtis, Reports of Decisions in the Supreme Court of the United States, Volume XV, Boston: Little, Brown and Company (1870)",per.003571;per.003259;per.003573;per.000737;per.000829;per.002274;per.003245;per.003577;per.003598;per.004335;per.003004;per.003574;per.003575;per.002799
oscys.case.0360.005,http://earlywashingtondc.org/doc/oscys.case.0360.005,Francis Bowling & Clarissa Gardiner v. David Atkins. Letter of Manumission,Civil (document),O Say Can You See,1827-02-20,oscys.caseid.0384,"National Archives and Records Administration, Record Group 21, Entry 6, Box 641, Folder 105/106",per.001241;per.001242;per.001236;per.004399;per.000829;per.001238;per.004400
oscys.case.0433.004,http://earlywashingtondc.org/doc/oscys.case.0433.004,Cassius Jackson v. Ariss Buckner & Bernard H. Buckner. Transcript from Washington County,Civil (document),O Say Can You See,1834-08-06,oscys.caseid.0462,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003614;per.003499;per.000873;per.000435;per.000866;per.000502;per.000003;per.000004;per.000131;per.000739;per.000044;per.000064
oscys.case.0231.022,http://earlywashingtondc.org/doc/oscys.case.0231.022,Fanny Hamilton v. Mary Roberson. Summons of Mary Roberson,Civil (document),O Say Can You See,1860-01-23,oscys.caseid.0236,"National Archives and Records Administration, Record Group 21, Entry 6, Box 922, Folder 48",per.001818;per.001819;per.000751;per.000476;per.001217;per.000740
oscys.case.0036.003,http://earlywashingtondc.org/doc/oscys.case.0036.003,Joe Thompson v. Walter Clarke. James Forrest to Francis Scott Key,Civil (document),O Say Can You See,1816-06-15,oscys.caseid.0036,"National Archives and Records Administration, Record Group 21, Entry 6, Box 123, Folder 446",per.000284;per.000285;per.000286;per.000287;per.000001;per.000288;per.000289;per.000290;per.000291;per.000292
oscys.case.0109.020,http://earlywashingtondc.org/doc/oscys.case.0109.020,Betsy Burke v. Ann Turner. Summons of Ann Turner,Civil (document),O Say Can You See,1857-02-02,oscys.caseid.0109,"National Archives and Records Administration, Record Group 21, Entry 6, Box 825, Folder 184",per.000852;per.000853;per.000854;per.000476;per.001216;per.000740
oscys.mdcase.0008.050,http://earlywashingtondc.org/doc/oscys.mdcase.0008.050,Charles Mahoney v. John Ashton. Opinion,Civil (document),O Say Can You See,1802-06-25,oscys.caseid.0481,"Maryland State Archives, Court of Appeals (Judgments), MSA S351-2 No. 8",per.004476;per.000215;per.004758;per.004337;per.004760;per.004759
oscys.case.0258.005,http://earlywashingtondc.org/doc/oscys.case.0258.005,Walter Thomas & Dennis Thomas v. Alexander Scott. Alexander Scott to James A. Porter and John Law,Civil (document),O Say Can You See,1809-12-23,oscys.caseid.0260,"National Archives and Records Administration, Record Group 21, Entry 6, Box 20, Folder 217",per.001935;per.001936;per.001937;per.000045;per.001940;per.000714;per.000435;per.001495;per.000023;per.001941;per.000044;per.001942;per.001943;per.001944;per.001945
oscys.case.0041.002,http://earlywashingtondc.org/doc/oscys.case.0041.002,Lynch Wormly v. Smith Cocke. Summons of Smith Cocke,Civil (document),O Say Can You See,1815-07-10,oscys.caseid.0041,"National Archives and Records Administration, Record Group 21, Entry 6, Box 172, Folder 30",per.000442;per.000443;per.000001;per.000006;per.000003;per.000004
oscys.case.0014.002,http://earlywashingtondc.org/doc/oscys.case.0014.002,Isaac Davis & Edgar Davis v. John Travers. Summons of John Travers,Civil (document),O Say Can You See,1810-02-11,oscys.caseid.0014,"National Archives and Records Administration, Record Group 21, Entry 6, Box 20, Folder 221",per.000123;per.000124;per.000125;per.000122;per.000006;per.000003;per.000004
oscys.case.0251.020,http://earlywashingtondc.org/doc/oscys.case.0251.020,Margaret Lewis v. Bridget McLaughlin. Summons of Bridget McLaughlin,Civil (document),O Say Can You See,1858-11-04,oscys.caseid.0252,"National Archives and Records Administration, Record Group 21, Entry 6, Box 886, Folder 64",per.001891;per.001892;per.001893;per.001894;per.001895;per.000751;per.000476;per.001217;per.000740
oscys.case.0203.006,http://earlywashingtondc.org/doc/oscys.case.0203.006,Samuel Smith v. Jesse Conn. Summons of Jesse Conn,Civil (document),O Say Can You See,1836-01-29,oscys.caseid.0208,"National Archives and Records Administration, Record Group 21, Entry 6, Box 549, Folder 50",per.001676;per.001677;per.000001;per.000003;per.000004
oscys.case.0405.001,http://earlywashingtondc.org/doc/oscys.case.0405.001,William Cooper v. Elias P. Legg. Petition for Freedom,Civil (document),O Say Can You See,,oscys.caseid.0432,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003218;per.000661;per.002112;per.003217;per.002630
oscys.case.0328.002,http://earlywashingtondc.org/doc/oscys.case.0328.002,Charles Beall v. William Kinner et al. Summons of William Kinner & Eliza Kinner,Civil (document),O Say Can You See,1859-10-29,oscys.caseid.0328,"National Archives and Records Administration, Record Group 21, Entry 6, Box 914, Folder 209",per.002422;per.002423;per.002424;per.002425;per.002426;per.002427;per.002428;per.002429;per.002430;per.000847;per.002360;per.000476;per.001217;per.000740
oscys.case.0393.007,http://earlywashingtondc.org/doc/oscys.case.0393.007,William v. John Swann. Summons of John Plummer & John Swann,Civil (document),O Say Can You See,1821-07-16,oscys.caseid.0418,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003128;per.003129;per.002883;per.000004;per.000122;per.003126;per.000461;per.002625
oscys.case.0095.001,http://earlywashingtondc.org/doc/oscys.case.0095.001,Gill Litchworth v. Zadok Wilson. Petition for Freedom,Civil (document),O Say Can You See,1824-12-03,oscys.caseid.0095,"National Archives and Records Administration, Record Group 21, Entry 6, Box 331, Folder 523",per.000730;per.000731;per.000549;per.000003
oscys.case.0034.002,http://earlywashingtondc.org/doc/oscys.case.0034.002,Rosanna Brown v. Bennett. Injunction,Civil (document),O Say Can You See,1815-12-22,oscys.caseid.0034,"National Archives and Records Administration, Record Group 21, Entry 6, Box 85, Folder 415",per.000279;per.000280;per.000281;per.000001;per.000006;per.000003;per.000004;per.000278
oscys.case.0002.001,http://earlywashingtondc.org/doc/oscys.case.0002.001,Sally Shorter v. Thomas Corcoran. Petition for Freedom,Civil (document),O Say Can You See,1808-07-01,oscys.caseid.0002,"National Archives and Records Administration, Record Group 21, Entry 6, Box 2, Folder 18",per.000009;per.000010;per.000011;per.000003;per.000008
oscys.mb.0046.002,http://earlywashingtondc.org/doc/oscys.mb.0046.002,Leanna v. John Pumphrey. Minute Book Entry,Civil (document),O Say Can You See,1822-11-04,oscys.caseid.0344,"National Archives and Records Administration, Record Group 21, Microfilm 1021, Reel 2",per.001865;per.001866;per.002385;per.003988;per.003989;per.003990;per.003991;per.003992;per.003993;per.003994;per.003777;per.003995;per.003996;per.003997;per.003998;per.003999;per.003913;per.004000;per.004001;per.004002;per.001262
oscys.mdcase.0001.018,http://earlywashingtondc.org/doc/oscys.mdcase.0001.018,Edward Queen v. John Ashton. Petitioner's & Defendant's Pleas,Civil (document),O Say Can You See,1794-05-22,oscys.caseid.0338,"Maryland State Archives, General Court of the Western Shore (Judgments), MSA S498-3",per.000078;per.000215;per.001393;per.001496;per.000068
oscys.mdcase.0014.038,http://earlywashingtondc.org/doc/oscys.mdcase.0014.038,Agnes Butler v. Robert Lawson. Petition for Freedom,Civil (document),O Say Can You See,1790-10-21,oscys.caseid.0587,"Maryland State Archives, General Court of the Western Shore (Judgments), MSA S498-14",per.006424;per.006425;per.001393;per.006323;per.006398;per.006399
oscys.case.0177.003,http://earlywashingtondc.org/doc/oscys.case.0177.003,James Rhodes v. Moses Bell. Writ of Error,Civil (document),O Say Can You See,1842-08-29,oscys.caseid.0179,"National Archives and Records Administration, Record Group 21, Entry 6, Box 650, Folder 332",per.001277;per.001278;per.000003;per.001155
oscys.mdcase.0014.083,http://earlywashingtondc.org/doc/oscys.mdcase.0014.083,Mary Butler v. Robert Lawson. Judgment Record,Civil (document),O Say Can You See,1791-10,oscys.caseid.0590,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-16",per.006428;per.006425;per.001493
oscys.case.0162.019,http://earlywashingtondc.org/doc/oscys.case.0162.019,Letty Lucas v. John R. Ratcliffe. Summons of John R. Ratcliffe,Civil (document),O Say Can You See,1854-12-28,oscys.caseid.0164,"National Archives and Records Administration, Record Group 21, Entry 6, Box 789, Folder 112",per.001213;per.001214;per.000004;per.001216;per.000740
oscys.case.0066.001,http://earlywashingtondc.org/doc/oscys.case.0066.001,Daniel Jones v. James R. Bosley. Petition for Freedom,Civil (document),O Say Can You See,1825-06-18,oscys.caseid.0066,"National Archives and Records Administration, Record Group 21, Entry 6, Box 355, Folder 45",per.000570;per.000571;per.000572;per.000003;per.000568;per.000569
oscys.case.0384.006,http://earlywashingtondc.org/doc/oscys.case.0384.006,Maria v. William Meade. Summons of Benjamin Baden,Civil (document),O Say Can You See,1817-12-11,oscys.caseid.0409,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003056;per.003057;per.000004;per.002816;per.002897
oscys.case.0373.004,http://earlywashingtondc.org/doc/oscys.case.0373.004,Sylvia v. George Coryell. Agreement,Civil (document),O Say Can You See,,oscys.caseid.0398,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002835;per.002836;per.002837;per.001562
oscys.case.0251.013,http://earlywashingtondc.org/doc/oscys.case.0251.013,Margaret Lewis v. Bridget McLaughlin. Summons of Bridget McLaughlin,Civil (document),O Say Can You See,1855-12-26,oscys.caseid.0252,"National Archives and Records Administration, Record Group 21, Entry 6, Box 804, Folder 96",per.001891;per.001892;per.001893;per.001894;per.001895;per.000751;per.000476;per.001216;per.000740
oscys.mdcase.0006.007,http://earlywashingtondc.org/doc/oscys.mdcase.0006.007,Robert Thomas v. Henry Pile. Petitioner's Interrogatories,Civil (document),O Say Can You See,1794-10-31,oscys.caseid.0342,"Maryland State Archives, General Court of Western Shore (Judgments), MSA S498-343",per.001950;per.001943;per.001393;per.002094;per.002031;per.001964;per.002095;per.001949;per.002066
oscys.case.0281.008,http://earlywashingtondc.org/doc/oscys.case.0281.008,Milly Henderson v. William Sexsmith. Summons of William Sexsmith,Civil (document),O Say Can You See,1855-12-26,oscys.caseid.0279,"National Archives and Records Administration, Record Group 21, Entry 6, Box 804, Folder 119",per.002196;per.002197;per.002198;per.000476;per.001216;per.000740
oscys.case.0235.014,http://earlywashingtondc.org/doc/oscys.case.0235.014,Lucy Bosy v. Ann Maria Fitzhugh. Summons of Ann Maria Fitzhugh,Civil (document),O Say Can You See,1856-08-04,oscys.caseid.0240,"National Archives and Records Administration, Record Group 21, Entry 6, Box 814, Folder 250",per.001828;per.001829;per.000751;per.000476;per.001216;per.000740
oscys.case.0142.008,http://earlywashingtondc.org/doc/oscys.case.0142.008,"Henry, Francis, & Sarah Gibson v. James C. Hall, James Laurie, & Elizabeth Laurie. Will of Andrew Shepherd",Civil (document),O Say Can You See,1803-11-20,oscys.caseid.0142;oscys.caseid.0143;oscys.caseid.0144,"National Archives and Records Administration, Record Group 21, Entry 6, Box 656, Folder 8 9 10",per.001073;per.001068;per.001069;per.001070;per.001067;per.001071;per.001072;per.001078;per.001079;per.001080;per.001081;per.001082;per.001083;per.001084;per.001085;per.001086;per.001087;per.001088;per.001089;per.001090;per.001091;per.001092;per.001093;per.001094;per.001095;per.001096;per.001097;per.001098;per.001099;per.001100;per.001101;per.001077;per.001102;per.001103;per.001104;per.001105;per.001106;per.001107;per.001108;per.001109;per.001110;per.001111;per.001112;per.001113;per.001114;per.001115;per.001116;per.001117;per.001118;per.001119
oscys.case.0192.002,http://earlywashingtondc.org/doc/oscys.case.0192.002,Rachel Turner v. Innis B. Palmer. Petition for Freedom,Civil (document),O Say Can You See,1836-03-10,oscys.caseid.0194,"National Archives and Records Administration, Record Group 21, Entry 6, Box 675, Folder 12",per.001612;per.001613;per.000873;per.000003
oscys.mdcase.0014.096,http://earlywashingtondc.org/doc/oscys.mdcase.0014.096,Samuel Butler v. William Bond. Judgment Record,Civil (document),O Say Can You See,1792-05,oscys.caseid.0604,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-17",per.006587;per.006540;per.004375;per.001495;per.004601;per.006312;per.006317;per.006413;per.006315;per.006534;per.005302;per.001493;per.002097;per.006588
oscys.case.0223.006,http://earlywashingtondc.org/doc/oscys.case.0223.006,William Kennedy v. Clarissa Purnell. Mary M. Thorndike's Answers to Interrogatories,Civil (document),O Say Can You See,1838-12-03,oscys.caseid.0228,"National Archives and Records Administration, Record Group 21, Entry 6, Box 606, Folder 390",per.001765;per.001766;per.000737;per.000738;per.000549;per.000699;per.001764;per.001774
oscys.mdcase.0006.004,http://earlywashingtondc.org/doc/oscys.mdcase.0006.004,Robert Thomas v. Henry Pile. Margaret Reeder's Answers to Interrogatories,Civil (document),O Say Can You See,1794-09-12,oscys.caseid.0342,"Maryland State Archives, General Court of Western Shore (Judgments), MSA S498-343",per.001950;per.001943;per.001393;per.001495;per.001972;per.002079;per.002036;per.001964;per.002052;per.002054;per.002068;per.002069;per.002070;per.002071;per.002072;per.002058;per.002059;per.002062;per.002063;per.002074
oscys.case.0282.001,http://earlywashingtondc.org/doc/oscys.case.0282.001,Sarah H. Medulla v. Georgiana Munroe. Summons of Georgiana Munroe,Civil (document),O Say Can You See,1852-09-07,oscys.caseid.0280,"National Archives and Records Administration, Record Group 21, Entry 6, Box 762, Folder 292",per.002199;per.002200;per.002201;per.001842;per.000847;per.000004;per.001841;per.000740;per.000753
oscys.mb.0016.002,http://earlywashingtondc.org/doc/oscys.mb.0016.002,Clem Joice v. Robert Alexander. Minute Book Entry,Civil (document),O Say Can You See,1809-01-27,oscys.caseid.0337,"National Archives and Records Administration, Record Group 21, Microfilm 1021, Reel 1",per.002761;per.002762;per.002763;per.000003;per.002741;per.001454;per.001869;per.002742;per.002764;per.000090;per.002757;per.002780;per.001543;per.002765;per.002766;per.002767;per.002768;per.002769;per.002721;per.002770;per.002771;per.000095;per.002772;per.001574;per.001552;per.002701;per.001870;per.001495;per.001872;per.000127;per.001590;per.001591;per.001592;per.002760;per.001580;per.000102;per.001873;per.001596;per.000156;per.002774;per.002775;per.002776;per.002777;per.001581;per.001461;per.002778;per.001874;per.001875;per.002779;per.000109;per.001876;per.000110;per.001604;per.002752
oscys.case.0385.001,http://earlywashingtondc.org/doc/oscys.case.0385.001,Samuel v. James Green. Complaint,Civil (document),O Say Can You See,,oscys.caseid.0410,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003061;per.003062;per.002883;per.003060
oscys.case.0011.016,http://earlywashingtondc.org/doc/oscys.case.0011.016,Mima Queen v. John Hepburn. Defendant's Bill of Exceptions,Civil (document),O Say Can You See,1810-06-27,oscys.caseid.0011,"National Archives and Records Administration, Record Group 21, Entry 6, Box 20, Folder 207",per.000056;per.000057;per.000058;per.000004;per.000072;per.000063;per.000077;per.000078;per.000064
oscys.case.0092.002,http://earlywashingtondc.org/doc/oscys.case.0092.002,Matilda Derrick v. George Mason & Alexander Moore. Bond,Civil (document),O Say Can You See,1823-01-11,oscys.caseid.0092,"National Archives and Records Administration, Record Group 21, Entry 6, Box 291, Folder 1309",per.000708;per.000709;per.000710;per.000711;per.000712;per.000713;per.000545;per.000715;per.000716;per.000717;per.000707
